name,organization_name,membership_label,description,timespan
ПЄТУХОВ Олександр Олександрович,прокуратура міста Києва,"заступник начальника управління правозахисної діяльності, протидії корупції та злочинності у сфері транспорту",Наказ Прокуратури міста Києва від 16.10.2014 № 3525к,10 років
САЛКОВ Володимир Вікторович,Генеральна прокуратура України,заступник начальника відділу участі прокурорів у цивільному судочинстві управління представництва в суді захисту інтересів громадян та держави при виконанні судових рішень Головного управління представництва та організації участі у кримінальному провадженні в суді Генеральної прокуратури України,Наказ Генеральної прокуратури України від 01 грудня 2014 року № 2727у,10 років
МАНЖЕЛЕЙ Ярослав Іванович,Управління МВС України в Івано-Франківській області,заступника начальника Управління МВС України в Івано-Франківській області – начальника міліції громадської безпеки,Наказ Міністерства внутрішніх справ України від 27.10.2014 № 2239 о/с,10 років
СУХАР Валентин Валерійович,Управління МВС України в Чернівецькій області,перший заступник начальника Управління МВС України в Чернівецькій області – начальник слідчого управління,наказ Міністерства внутрішніх справ України від 27.10.2014 2239о/с,10 років
КУРУП Анатолій Миколайович,Головне управління Міндоходів у Кіровоградській області,заступник начальника - начальник штабу оперативного управління Головного управління Міндоходів у Кіровоградській області,Наказ Міністерства доходів і зборів України від 29.10.2014 № 2168-о,10 років
ГУСЛАВСЬКИЙ Володимир Станіславович,Міністерство внутрішніх справ України,перебуває у розпорядженні МВС за посадою начальника Головного Управління МВС України у Луганській області,Наказ Міністерства внутрішніх справ України від 17 грудня 2014 року № 2601 о/с,10 років
ГРАБ Тетяна Дмитрівна,ДПІ у Виноградівському районі  Головного управління Міндоходів у Закарпатській області,начальник ДПІ у Виноградівському районі  Головного управління Міндоходів у Закарпатській області,Наказ Державної фіскальної служби України від 24.10.2014 № 1005-О,10 років
ГАВРИЛЮК Михайло Іванович,Прокуратура Кіровоградської області,прокурор Кіровоградської області,Наказ Генеральної Прокуратури України від 23.10.2014 № 1457к,10 років
РОЗМАН Василь Васильович,Державна фіскальна служба України,заступник  начальника Свалявської ОДПІ  Головного управління Міндоходів у Закарпатській області,Наказ Державної фіскальної служба України від 24.10.2014 № 1007-о,10 років
ПРИСЯЖНЮК Василь Степанович,Генеральна прокуратура України,заступник начальника Головного управління міжнародно-правового співробітництва Генеральної прокуратури України,Наказ Генеральної прокуратури України від 23 жовтня 2014 року № 2496-ц,10 років
